lgID,yearID,league_wide_era,dh_state
AL,1975,4.31460218830204,with DH
NL,1975,4.133216175431224,No DH
NL,1974,4.151788266229683,No DH
AL,1974,4.11401062163298,with DH
NL,1973,4.15044045303741,No DH
AL,1973,4.301168806284728,with DH
AL,1972,3.4808550669522225,No DH
NL,1972,3.8927366540980355,No DH
AL,1971,3.889115934765007,No DH
NL,1971,3.91452877334198,No DH
NL,1970,4.533684311285537,No DH
AL,1970,4.1830114059723735,No DH
NL,1969,4.08400751504927,No DH
AL,1969,4.092934679108741,No DH
AL,1968,3.4210719193770043,No DH
NL,1968,3.418908793678905,No DH
AL,1967,3.6932770231708707,No DH
NL,1967,3.8375697174727987,No DH
AL,1966,3.897419384516307,No DH
NL,1966,4.096944151738673,No DH
NL,1965,4.030731407498464,No DH
AL,1965,3.9542390756109858,No DH
NL,1964,4.038535689694744,No DH
AL,1964,4.0686281217926785,No DH
NL,1963,3.8223357229564145,No DH
AL,1963,4.0813881571412205,No DH
NL,1962,4.520496894409938,No DH
AL,1962,4.453806407165001,No DH
AL,1961,4.580268022181146,No DH
NL,1961,4.570737605804111,No DH
AL,1960,4.396463051520347,No DH
NL,1960,4.248973352117742,No DH
NL,1959,4.449761631766339,No DH
AL,1959,4.389667963448837,No DH
AL,1958,4.2118105950653115,No DH
NL,1958,4.423405992079088,No DH
AL,1957,4.214200119832235,No DH
NL,1957,4.353311740409474,No DH
NL,1956,4.291202169328111,No DH
AL,1956,4.695935941985194,No DH
AL,1955,4.48177146311971,No DH
NL,1955,4.570327436045277,No DH
NL,1954,4.592408891577197,No DH
AL,1954,4.216749212066636,No DH
NL,1953,4.851222846726417,No DH
AL,1953,4.48521744371779,No DH
NL,1952,4.209594051325454,No DH
AL,1952,4.179424481884598,No DH
AL,1951,4.653740614540301,No DH
NL,1951,4.479827864443249,No DH
NL,1950,4.7085894214175426,No DH
AL,1950,5.133357657575481,No DH
AL,1949,4.7513024403619415,No DH
NL,1949,4.5788003484215904,No DH
AL,1948,4.7868444228491605,No DH
NL,1948,4.496850944716585,No DH
AL,1947,4.193661971830986,No DH
NL,1947,4.652088018965412,No DH
NL,1946,3.9930835388223973,No DH
AL,1946,4.0980835291990605,No DH
